,preqin,score,unpri match,Firm Name,preqin_clean
0,private advisors,0.8648648648648649,,Private Advisors,private advisors
1,tkp investments,0.8387096774193549,,TKP Investments,tkp investments
2,access capital partners,1.0,access capital partners,Access Capital Partners,access capital partners
3,adams street partners,0.9130434782608695,,Adams Street Partners,adams street partners
4,schroder adveq,0.6956521739130435,,Schroder Adveq,schroder adveq
5,pinebridge investments,1.0,pinebridge investments,PineBridge Investments,pinebridge investments
6,arsenal capital partners,0.8888888888888888,,Arsenal Capital Partners,arsenal capital partners
7,ardian,1.0,ardian,Ardian,ardian
8,bain capital,0.9166666666666666,,Bain Capital,bain capital
9,vontobel private equity,0.8292682926829268,,Vontobel Private Equity,vontobel private equity
10,coller capital,1.0,coller capital,Coller Capital,coller capital
11,gcm grosvenor,1.0,gcm grosvenor,GCM Grosvenor,gcm grosvenor
12,danske private equity,0.8372093023255814,,Danske Private Equity,danske private equity
13,goldman sachs aims private equity,0.7169811320754716,,Goldman Sachs AIMS Private Equity,goldman sachs aims private equity
14,greenpark capital,0.8235294117647058,,Greenpark Capital,greenpark capital
15,greenpark capital,0.8235294117647058,,Greenpark Capital,greenpark capital
16,hamilton lane,1.0,hamilton lane,Hamilton Lane,hamilton lane
17,harbourvest partners,0.8888888888888888,,HarbourVest Partners,harbourvest partners
18,henderson equity partners,0.8085106382978723,,Henderson Equity Partners,henderson equity partners
19,horsley bridge partners,0.6341463414634146,,Horsley Bridge Partners,horsley bridge partners
20,invesco private capital,0.7027027027027027,,Invesco Private Capital,invesco private capital
21,invesco private capital,0.7027027027027027,,Invesco Private Capital,invesco private capital
22,invesco private capital,0.7027027027027027,,Invesco Private Capital,invesco private capital
23,kkr,0.4444444444444444,,KKR,kkr
24,neuberger berman,0.7619047619047619,,Neuberger Berman,neuberger berman
25,lexington partners,0.8780487804878049,,Lexington Partners,lexington partners
26,lgt capital partners,0.9090909090909091,,LGT Capital Partners,lgt capital partners
27,green arrow capital,0.7777777777777778,,Green Arrow Capital,green arrow capital
28,green arrow capital,0.7777777777777778,,Green Arrow Capital,green arrow capital
29,blackrock private equity partners,0.8333333333333334,,BlackRock Private Equity Partners,blackrock private equity partners
30,goldpoint partners,0.7777777777777778,,GoldPoint Partners,goldpoint partners
31,nordea private equity,0.8372093023255814,,Nordea Private Equity,nordea private equity
32,pantheon,0.7058823529411765,,Pantheon,pantheon
33,pomona capital,0.8333333333333334,,Pomona Capital,pomona capital
34,aberdeen standard investments,1.0,aberdeen standard investments,Aberdeen Standard Investments,aberdeen standard investments
35,north sky capital,1.0,north sky capital,North Sky Capital,north sky capital
36,wilshire private markets,0.6190476190476191,,Wilshire Private Markets,wilshire private markets
37,akina,0.6666666666666666,,Akina,akina
38,acg capital,0.8695652173913043,,ACG Capital,acg capital
39,allianz capital partners,0.8936170212765957,,Allianz Capital Partners,allianz capital partners
40,mch private equity,0.8947368421052632,,MCH Private Equity,mch private equity
41,siemens financial services,0.8076923076923077,,Siemens Financial Services,siemens financial services
42,commonfund capital,0.7272727272727273,,Commonfund Capital,commonfund capital
43,commonfund capital,0.7272727272727273,,Commonfund Capital,commonfund capital
44,commonfund capital,0.7272727272727273,,Commonfund Capital,commonfund capital
45,idinvest partners,1.0,idinvest partners,Idinvest Partners,idinvest partners
46,bank gutmann group,0.6842105263157895,,Bank Gutmann Group,bank gutmann group
47,capvent,0.6153846153846154,,Capvent,capvent
48,fondinvest capital,1.0,fondinvest capital,Fondinvest Capital,fondinvest capital
49,golding capital partners,1.0,golding capital partners,Golding Capital Partners,golding capital partners
50,alpinvest partners,0.8780487804878049,,AlpInvest Partners,alpinvest partners
51,greenspring associates,0.6666666666666666,,Greenspring Associates,greenspring associates
52,partners group,0.9032258064516129,,Partners Group,partners group
53,robeco private equity,0.8205128205128205,,Robeco Private Equity,robeco private equity
54,robeco private equity,0.8205128205128205,,Robeco Private Equity,robeco private equity
55,cfh - sachsen lb corporate finance holding,0.5373134328358209,,CFH - Sachsen LB Corporate Finance Holding,cfh - sachsen lb corporate finance holding
56,seb asset management,0.926829268292683,,SEB Asset Management,seb asset management
57,unigestion,0.9,,Unigestion,unigestion
58,vencap international,0.8108108108108109,,VenCap International,vencap international
59,kensington,0.7368421052631579,,Kensington,kensington
60,hsbc germany,0.5555555555555556,,HSBC Germany,hsbc germany
61,infinity capital partners,0.8444444444444444,,Infinity Capital Partners,infinity capital partners
62,wealthcap kapitalverwaltungsgesellschaft,0.7586206896551724,,WealthCap Kapitalverwaltungsgesellschaft,wealthcap kapitalverwaltungsgesellschaft
63,wealthcap kapitalverwaltungsgesellschaft,0.7586206896551724,,WealthCap Kapitalverwaltungsgesellschaft ,wealthcap kapitalverwaltungsgesellschaft
64,kagiso tiso holdings,0.7,,Kagiso Tiso Holdings,kagiso tiso holdings
65,rcp advisors,0.72,,RCP Advisors,rcp advisors
66,vcm,0.4444444444444444,,VCM,vcm
67,vcm,0.4444444444444444,,VCM,vcm
68,vcm,0.4444444444444444,,VCM,vcm
69,vcm,0.4444444444444444,,VCM,vcm
70,atp private equity partners,0.9259259259259259,,ATP Private Equity Partners,atp private equity partners
71,747 capital,1.0,747 capital,747 Capital,747 capital
72,aa capital partners,0.9047619047619048,,AA Capital Partners,aa capital partners
73,pavilion alternatives group,0.5777777777777777,,Pavilion Alternatives Group,pavilion alternatives group
74,capital dynamics,1.0,capital dynamics,Capital Dynamics,capital dynamics
75,community development venture capital alliance,0.5925925925925926,,Community Development Venture Capital Alliance,community development venture capital alliance
76,dupont capital,0.8,,DuPont Capital,dupont capital
77,russell investment group,0.8372093023255814,,Russell Investment Group,russell investment group
78,shape capital,0.8275862068965517,,shaPE Capital,shape capital
79,qualitas equity funds,0.711864406779661,,Qualitas Equity Funds,qualitas equity funds
80,vintage investment partners,0.8571428571428571,,Vintage Investment Partners,vintage investment partners
81,vintage investment partners,0.8571428571428571,,Vintage Investment Partners,vintage investment partners
82,vintage investment partners,0.8571428571428571,,Vintage Investment Partners,vintage investment partners
83,avadis anlagestiftung,0.6,,Avadis Anlagestiftung,avadis anlagestiftung
84,storebrand asset management,1.0,storebrand asset management,Storebrand Asset Management,storebrand asset management
85,christian brothers investment services,0.926829268292683,,Christian Brothers Investment Services,christian brothers investment services
86,pggm,0.4444444444444444,,PGGM,pggm
87,pggm,0.4444444444444444,,PGGM,pggm
88,bankmuscat,0.6,,BankMuscat,bankmuscat
89,eq asset management,0.9230769230769231,,eQ Asset Management,eq asset management
90,eq asset management,0.9230769230769231,,eQ Asset Management,eq asset management
91,wespath benefits and investments,0.6557377049180327,,Wespath Benefits and Investments,wespath benefits and investments
92,barclays pension fund,0.7777777777777778,,Barclays Pension Fund,barclays pension fund
93,50 south capital advisors,0.7755102040816326,,50 South Capital Advisors,50 south capital advisors
94,vianova capital,0.896551724137931,,ViaNova Capital,vianova capital
95,vianova capital,0.896551724137931,,ViaNova Capital,vianova capital
96,british columbia investment management corporation,1.0,british columbia investment management corporation,British Columbia Investment Management Corporation,british columbia investment management corporation
97,absolute private equity,0.7804878048780488,,Absolute Private Equity,absolute private equity
98,absolute private equity,0.7804878048780488,,Absolute Private Equity,absolute private equity
99,generali investments,0.8571428571428571,,Generali Investments,generali investments
100,tesi,0.5714285714285714,,Tesi,tesi
101,svf,0.5714285714285714,,SVF,svf
102,svf,0.5714285714285714,,SVF,svf
103,taneo,0.5714285714285714,,TANEO,taneo
104,taneo,0.5714285714285714,,TANEO,taneo
105,aviva investors multi-manager,0.6923076923076923,,Aviva Investors Multi-Manager,aviva investors multi-manager
106,ubs multi-manager private equity and infrastructure,0.5681818181818182,,UBS Multi-Manager Private Equity and Infrastructure,ubs multi-manager private equity and infrastructure
107,nexus capital,0.8461538461538461,,Nexus Capital,nexus capital
108,nexus capital,0.8461538461538461,,Nexus Capital,nexus capital
109,franklin templeton real asset advisors,0.7058823529411765,,Franklin Templeton Real Asset Advisors,franklin templeton real asset advisors
110,ap alternative portfolio ag,0.631578947368421,,AP Alternative Portfolio AG,ap alternative portfolio ag
111,allianz global investors,1.0,allianz global investors,Allianz Global Investors,allianz global investors
112,alpha associates,0.9142857142857143,,Alpha Associates,alpha associates
113,ab (alliancebernstein),0.85,,AB (AllianceBernstein),ab (alliancebernstein)
114,northgate capital,0.7894736842105263,,Northgate Capital,northgate capital
115,bmo global asset management,1.0,bmo global asset management,BMO Global Asset Management,bmo global asset management
116,sanlam private equity,0.8292682926829268,,Sanlam Private Equity,sanlam private equity
117,swedfund,0.625,,Swedfund,swedfund
118,ostrum private equity,0.8372093023255814,,Ostrum Private Equity,ostrum private equity
119,brown advisory,1.0,brown advisory,Brown Advisory,brown advisory
120,quilvest private equity,0.7804878048780488,,Quilvest Private Equity,quilvest private equity
121,swiss investment fund for emerging markets (sifem),0.5952380952380952,,Swiss Investment Fund for Emerging Markets (SIFEM),swiss investment fund for emerging markets (sifem)
122,spf beheer,1.0,spf beheer,SPF Beheer,spf beheer
123,mercer private markets,0.7,,Mercer Private Markets,mercer private markets
