Firm ID,Firm Name,GP or LP,Firm Type,Firm Country,Firm Region,ESG Status,ESG Policy Date Established,Impact Investing,ESG Status Date Established,General Policy Applied to Asset Classes,Asset class specific Policy,Asset class specific Policy 2,Asset class specific Policy 3,Socially Responsible Investment,ESG Policy URL,Additional Information,Active On Pro,Internal note date,Internal note update type,Internal note note type,Asia Investor Group on Climate Change,Asian Corporate Governance Association,Australian Council of Superannuation Investors,Carbon Disclosure Project (Formerly),Ceres,Climate Action 100+,Council of Institutional Investors,ESG Research Austrailia,Eumedion,Eurosif,FAIRR,Global Impact Investing Network,Global Real Estate Sustainability Benchmark – Infrastructure,Global Real Estate Sustainability Benchmark – Real Estate,IFC Operating Principles for Impact Management,Institutional Investors Group on Climate Change,Interfaith Center on Corporate Responsibility,International Corporate Governance Network,Invest Europe Responsible Investment Roundtable,Investor Group on Climate Change,Local Authority Pension Fund Forum,Principles for Responsible Investment (PRI),Responsible Investment Association (RIA),Responsible Investment Association Australia,Sustainability Accounting Standards Board,Task Force on Climate-related Financial Disclosures,UK Sustainable Investment and Finance Association,United Nations Environment Programme Finance Initiative,United Nations Global Compact,US SIF,ESG Sub Policies Type,ESG Sub Policies Date,ESG Sub Policies Policy Link,Sub Policy 2,Sub Policy 3,Dupes?
12358,Private Advisors,LP,Fund of Hedge Funds Manager,US,North America,Yes,,Unknown,,HF,PE,,,,,Private Advisors has shown a commitment to ESG factors as a signatory to Principles for Responsible Investment (PRI). Private Advisors addressed ESG incorporation into private equity and hedge funds investments. , HF,43697,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12358,Private Advisors,GP,Fund of Hedge Funds Manager,US,North America,Yes,,Unknown,,HF,N/A,,,No,https://www.cliens.se/ansvarsfulla-investeringar,,HF,43766,Full Update,Email Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15081,TKP Investments,LP,Fund of Hedge Funds Manager,Netherlands,West Europe,Pending,38718,No,,HF,RE,,,,https://tkpinvestments.com/wp-content/uploads/TKPI-Beleid-Verantwoord-Beleggen.pdf,TKP Investments incorporates ESG via its parent company Aegon Asset Manager. Aegon has signed the UN Principles for Responsible Investment (UNPRI). The policy currently applies to corporate equity and fixed income securities., HF,43693,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15081,TKP Investments,GP,Fund of Hedge Funds Manager,Netherlands,West Europe,Pending,38718,No,,HF,N/A,,,,,,"PE,VC,HF",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,Access Capital Partners,LP,Private Equity Fund of Funds Manager,France,West Europe,Yes,39083,No,43466,"PE, INF, PD, VC",N/A,,,Yes,https://www.access-capital-partners.com/uploads/site/PDF/Access-SRI%20Policy-MARCH2019.pdf,"Access Capital Partners started its engagement program since 2007. Access Capital Partners incorporates ESG in private equity, private debt and infrastructure investments only. It is also a member of the Initiative Carbone 2020 (IC20).","PE, INF, PD, NR, VC",43693,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,Access Capital Partners,GP,Private Equity Fund of Funds Manager,France,West Europe,Yes,,,43525,"PE, INF, PD, VC",N/A,,,No,https://www.gsam.com/content/dam/gsam/pdfs/common/en/public/miscellaneous/GSAM_statement_on_respon_sustainable_investing.pdf?sa=n&rd=n,"Goldman Sachs Asset Management is the parent company of Goldman Sachs AIMS Private Equity. AIMS focuses on evaluating external ESG and impact managers. Goldman Sachs Asset Management is a signatory to the Principles for Responsible Investment (PRI), Task Force on Climate-related Financial Disclosures, Global Impact Investing Network, Sustainability Accounting Standards Board and CDP. ","PE,PD,NR,VC",43698,N/A: No Update,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,Adams Street Partners,LP,Private Equity Fund of Funds Manager,US,North America,Yes,,Unknown,,PE,N/A,,,,,Adams Street Partners is a signatory of the Principles for Responsible Investment (PRI).,"PE, INF, PD, NR, VC",43732,Full Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,Adams Street Partners,GP,Private Equity Fund of Funds Manager,US,North America,Yes,,No,,PE,N/A,,,,https://www.gipartners.com/about/responsible-investing,GI Partners is a signatory of te PRI association adn GRESB - Real Estate. The firm does not disclose its ESG policy publicly.,PE,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24,Schroder Adveq,LP,Private Equity Fund of Funds Manager,Switzerland,West Europe,Yes,,Unknown,,"PE, PD, VC",N/A,,,,https://www.schroders.com/en/sysglobalassets/digital/about/schroders-esg-policy-january-2017.pdf,"Schroder Adveq has shown a commitment to ESG factors as a signatory to Principles for Responsible Investment (PRI),  Sustainability Accounting Standards Board and International Corporate Governance Network. It outlines its ESG practices on its webpage.","PE, PD, VC",43712,Partial Update,Web Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
24,Schroder Adveq,GP,Private Equity Fund of Funds Manager,Switzerland,West Europe,Yes,,No,,"PE, PD, VC",N/A,,,,https://www.coronation.com/globalassets/repository/legal/coronation-environmental-social-governance-esg-policy-february-2018.pdf,,HF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
